,Region Name,Country,Class,Category,Type,Constant 2018 USD,Data Type
1843,Asia,Brunei Darsm,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
189,Asia,Brunei Darsm,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
190,Asia,Brunei Darsm,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
191,Asia,Brunei Darsm,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
228,Asia,Cambodia,A1,Beneficial,Fisheries mangt.,45397687.98686796,Modeled
229,Asia,Cambodia,A2,Beneficial,Fishery R&D,3666218.1624572296,Modeled
230,Asia,Cambodia,A3,Beneficial,MPAs,831999.0865572675,Modeled
231,Asia,Cambodia,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
232,Asia,Cambodia,B2,Capacity-enhancing,Fisheries dev. projects,9972837.860314498,Modeled
233,Asia,Cambodia,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
234,Asia,Cambodia,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
235,Asia,Cambodia,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
236,Asia,Cambodia,B6,Capacity-enhancing,Fishing access,1495908.19,Modeled
1847,Asia,Cambodia,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
237,Asia,Cambodia,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
238,Asia,Cambodia,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
239,Asia,Cambodia,C3,Ambiguous,Rural fisher communities,1886191.0148006706,Modeled
300,Asia,China,A1,Beneficial,Fisheries mangt.,428865386.9566651,Reported
301,Asia,China,A2,Beneficial,Fishery R&D,172033.49612076054,Reported
302,Asia,China,A3,Beneficial,MPAs,5454908.028155117,Modeled
303,Asia,China,B1,Capacity-enhancing,Boat constsruct. & renov.,14581816.802511437,Reported
304,Asia,China,B2,Capacity-enhancing,Fisheries dev. projects,5752133.196284459,Reported
305,Asia,China,B2,Capacity-enhancing,Fisheries dev. projects,902580106.1024041,Modeled
306,Asia,China,B3,Capacity-enhancing,Fishing port develop.,185153513.23460457,Reported
307,Asia,China,B4,Capacity-enhancing,Markt. & storage infrast.,6194721.573969588,Reported
308,Asia,China,B5,Capacity-enhancing,Tax exemption,1062517493.4461107,Modeled
309,Asia,China,B6,Capacity-enhancing,Fishing access,275424946.96,Modeled
1853,Asia,China,B7,Capacity-enhancing,Fuel subsidies,3433436330.8796506,Reported
310,Asia,China,C1,Ambiguous,Fisher assistance,54898339.52106179,Reported
311,Asia,China,C2,Ambiguous,Vessel buyback,886222569.0252352,Reported
312,Asia,China,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
409,Asia,Cyprus,A1,Beneficial,Fisheries mangt.,633368.0091964868,Modeled
410,Asia,Cyprus,A2,Beneficial,Fishery R&D,148400.00145045057,Modeled
411,Asia,Cyprus,A3,Beneficial,MPAs,1131549.5465551496,Modeled
412,Asia,Cyprus,B1,Capacity-enhancing,Boat constsruct. & renov.,84554.11951398673,Modeled
413,Asia,Cyprus,B2,Capacity-enhancing,Fisheries dev. projects,0.0,not found evidence of subsidy
414,Asia,Cyprus,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
415,Asia,Cyprus,B4,Capacity-enhancing,Markt. & storage infrast.,189954.80033802008,Modeled
416,Asia,Cyprus,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
417,Asia,Cyprus,B6,Capacity-enhancing,Fishing access,25864944.17,Modeled
1862,Asia,Cyprus,B7,Capacity-enhancing,Fuel subsidies,1336031.9210612953,Modeled
418,Asia,Cyprus,C1,Ambiguous,Fisher assistance,56574.08144748074,Modeled
419,Asia,Cyprus,C2,Ambiguous,Vessel buyback,61614.16671650178,Modeled
420,Asia,Cyprus,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
722,Asia,Hong Kong,A1,Beneficial,Fisheries mangt.,1338136.823192956,Modeled
723,Asia,Hong Kong,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
724,Asia,Hong Kong,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
725,Asia,Hong Kong,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
726,Asia,Hong Kong,B2,Capacity-enhancing,Fisheries dev. projects,40962323.03291702,Modeled
727,Asia,Hong Kong,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
728,Asia,Hong Kong,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
729,Asia,Hong Kong,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
730,Asia,Hong Kong,B6,Capacity-enhancing,Fishing access,71892110.84,Modeled
1888,Asia,Hong Kong,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
731,Asia,Hong Kong,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
732,Asia,Hong Kong,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
733,Asia,Hong Kong,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
746,Asia,India,A1,Beneficial,Fisheries mangt.,52122688.49706755,Reported
747,Asia,India,A2,Beneficial,Fishery R&D,26710263.242159147,Reported
748,Asia,India,A3,Beneficial,MPAs,4127834.9125231705,Modeled
749,Asia,India,B1,Capacity-enhancing,Boat constsruct. & renov.,8531208.045884114,Reported
750,Asia,India,B2,Capacity-enhancing,Fisheries dev. projects,159275.6736152225,Reported
751,Asia,India,B3,Capacity-enhancing,Fishing port develop.,10530705.01626058,Reported
752,Asia,India,B4,Capacity-enhancing,Markt. & storage infrast.,2762127.639104465,Reported
753,Asia,India,B5,Capacity-enhancing,Tax exemption,45961256.011942364,Modeled
754,Asia,India,B6,Capacity-enhancing,Fishing access,15971345.57,Modeled
1890,Asia,India,B7,Capacity-enhancing,Fuel subsidies,90487776.47915559,Reported
755,Asia,India,C1,Ambiguous,Fisher assistance,8120990.291105807,Reported
756,Asia,India,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
757,Asia,India,C3,Ambiguous,Rural fisher communities,11272695.269213965,Modeled
758,Asia,Indonesia,A1,Beneficial,Fisheries mangt.,210754701.24286398,Reported
759,Asia,Indonesia,A2,Beneficial,Fishery R&D,56386451.51373247,Reported
760,Asia,Indonesia,A3,Beneficial,MPAs,41431606.12639708,Modeled
761,Asia,Indonesia,B1,Capacity-enhancing,Boat constsruct. & renov.,66744946.24716724,Reported
762,Asia,Indonesia,B2,Capacity-enhancing,Fisheries dev. projects,91542906.39975822,Reported
763,Asia,Indonesia,B3,Capacity-enhancing,Fishing port develop.,26823464.497254502,Reported
764,Asia,Indonesia,B4,Capacity-enhancing,Markt. & storage infrast.,140059127.8323831,Reported
765,Asia,Indonesia,B5,Capacity-enhancing,Tax exemption,98477275.81463206,Modeled
766,Asia,Indonesia,B6,Capacity-enhancing,Fishing access,1019127.28,Modeled
1891,Asia,Indonesia,B7,Capacity-enhancing,Fuel subsidies,141322801.12756196,Reported
767,Asia,Indonesia,C1,Ambiguous,Fisher assistance,4680451.016061262,Reported
768,Asia,Indonesia,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
769,Asia,Indonesia,C3,Ambiguous,Rural fisher communities,56310415.98202505,Reported
770,Asia,Iran,A1,Beneficial,Fisheries mangt.,67491230.07088116,Modeled
771,Asia,Iran,A2,Beneficial,Fishery R&D,15813395.20623678,Modeled
772,Asia,Iran,A3,Beneficial,MPAs,5544576.3442575345,Modeled
773,Asia,Iran,B1,Capacity-enhancing,Boat constsruct. & renov.,9696722.096769316,Modeled
774,Asia,Iran,B2,Capacity-enhancing,Fisheries dev. projects,130138.96009174142,Reported
775,Asia,Iran,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
776,Asia,Iran,B4,Capacity-enhancing,Markt. & storage infrast.,21784141.57006737,Modeled
777,Asia,Iran,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
778,Asia,Iran,B6,Capacity-enhancing,Fishing access,3609634.32,Modeled
1892,Asia,Iran,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
779,Asia,Iran,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
780,Asia,Iran,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
781,Asia,Iran,C3,Ambiguous,Rural fisher communities,8457798.83436164,Modeled
782,Asia,Iraq,A1,Beneficial,Fisheries mangt.,617482.28272036,Modeled
783,Asia,Iraq,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
784,Asia,Iraq,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
785,Asia,Iraq,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
786,Asia,Iraq,B2,Capacity-enhancing,Fisheries dev. projects,0.0,not found evidence of subsidy
787,Asia,Iraq,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
788,Asia,Iraq,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
789,Asia,Iraq,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
790,Asia,Iraq,B6,Capacity-enhancing,Fishing access,454381.89,Modeled
1893,Asia,Iraq,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
791,Asia,Iraq,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
792,Asia,Iraq,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
793,Asia,Iraq,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
806,Asia,Israel,A1,Beneficial,Fisheries mangt.,809638.8608265747,Modeled
807,Asia,Israel,A2,Beneficial,Fishery R&D,189700.78434089513,Modeled
808,Asia,Israel,A3,Beneficial,MPAs,485400.2559198709,Modeled
809,Asia,Israel,B1,Capacity-enhancing,Boat constsruct. & renov.,108106.95529909314,Modeled
810,Asia,Israel,B2,Capacity-enhancing,Fisheries dev. projects,0.0,not found evidence of subsidy
811,Asia,Israel,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
812,Asia,Israel,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
813,Asia,Israel,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
814,Asia,Israel,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1895,Asia,Israel,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
815,Asia,Israel,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
816,Asia,Israel,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
817,Asia,Israel,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
854,Asia,Japan,A1,Beneficial,Fisheries mangt.,345674903.4250025,Reported
855,Asia,Japan,A2,Beneficial,Fishery R&D,160089659.9239265,Reported
856,Asia,Japan,A3,Beneficial,MPAs,28316872.907067765,Modeled
857,Asia,Japan,B1,Capacity-enhancing,Boat constsruct. & renov.,146739219.3091445,Modeled
858,Asia,Japan,B2,Capacity-enhancing,Fisheries dev. projects,20731419.180348918,Reported
859,Asia,Japan,B3,Capacity-enhancing,Fishing port develop.,659197308.6808951,Reported
860,Asia,Japan,B4,Capacity-enhancing,Markt. & storage infrast.,28454674.405934837,Reported
861,Asia,Japan,B5,Capacity-enhancing,Tax exemption,510935602.66279966,Modeled
862,Asia,Japan,B6,Capacity-enhancing,Fishing access,112772067.13,Modeled
1899,Asia,Japan,B7,Capacity-enhancing,Fuel subsidies,631740242.4586498,Modeled
863,Asia,Japan,C1,Ambiguous,Fisher assistance,75917356.22210845,Reported
864,Asia,Japan,C2,Ambiguous,Vessel buyback,106928139.92188011,Modeled
865,Asia,Japan,C3,Ambiguous,Rural fisher communities,32345071.108845674,Reported
866,Asia,Jordan,A1,Beneficial,Fisheries mangt.,105387.07159672273,Modeled
867,Asia,Jordan,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
868,Asia,Jordan,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
869,Asia,Jordan,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
870,Asia,Jordan,B2,Capacity-enhancing,Fisheries dev. projects,41621.64651088669,Modeled
871,Asia,Jordan,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
872,Asia,Jordan,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
873,Asia,Jordan,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
874,Asia,Jordan,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1900,Asia,Jordan,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
875,Asia,Jordan,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
876,Asia,Jordan,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
877,Asia,Jordan,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
890,Asia,Korea D P Rp,A1,Beneficial,Fisheries mangt.,10400164.61944116,Modeled
891,Asia,Korea D P Rp,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
892,Asia,Korea D P Rp,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
893,Asia,Korea D P Rp,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
894,Asia,Korea D P Rp,B2,Capacity-enhancing,Fisheries dev. projects,0.0,not found evidence of subsidy
895,Asia,Korea D P Rp,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
896,Asia,Korea D P Rp,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
897,Asia,Korea D P Rp,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
898,Asia,Korea D P Rp,B6,Capacity-enhancing,Fishing access,975586.68,Modeled
1902,Asia,Korea D P Rp,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
899,Asia,Korea D P Rp,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
900,Asia,Korea D P Rp,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
901,Asia,Korea D P Rp,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
902,Asia,Korea Rep,A1,Beneficial,Fisheries mangt.,1177574425.0065598,Reported
903,Asia,Korea Rep,A2,Beneficial,Fishery R&D,457516062.92831993,Reported
904,Asia,Korea Rep,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
905,Asia,Korea Rep,B1,Capacity-enhancing,Boat constsruct. & renov.,45751448.21295384,Modeled
906,Asia,Korea Rep,B2,Capacity-enhancing,Fisheries dev. projects,131658318.57791997,Reported
907,Asia,Korea Rep,B3,Capacity-enhancing,Fishing port develop.,231798842.72,Reported
908,Asia,Korea Rep,B4,Capacity-enhancing,Markt. & storage infrast.,477334712.32,Reported
909,Asia,Korea Rep,B5,Capacity-enhancing,Tax exemption,9013873.76,Reported
910,Asia,Korea Rep,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1903,Asia,Korea Rep,B7,Capacity-enhancing,Fuel subsidies,604031262.9493501,Modeled
911,Asia,Korea Rep,C1,Ambiguous,Fisher assistance,4800088.96,Reported
912,Asia,Korea Rep,C2,Ambiguous,Vessel buyback,33338852.96089014,Modeled
913,Asia,Korea Rep,C3,Ambiguous,Rural fisher communities,12132870.4,Reported
914,Asia,Kuwait,A1,Beneficial,Fisheries mangt.,6410762.502768152,Modeled
915,Asia,Kuwait,A2,Beneficial,Fishery R&D,1502060.6517784398,Modeled
916,Asia,Kuwait,A3,Beneficial,MPAs,237044.87205129061,Modeled
917,Asia,Kuwait,B1,Capacity-enhancing,Boat constsruct. & renov.,785523.307836944,Modeled
918,Asia,Kuwait,B2,Capacity-enhancing,Fisheries dev. projects,0.0,not found evidence of subsidy
919,Asia,Kuwait,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
920,Asia,Kuwait,B4,Capacity-enhancing,Markt. & storage infrast.,1764715.000980469,Modeled
921,Asia,Kuwait,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
922,Asia,Kuwait,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1904,Asia,Kuwait,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
923,Asia,Kuwait,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
924,Asia,Kuwait,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
925,Asia,Kuwait,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
926,Asia,Lebanon,A1,Beneficial,Fisheries mangt.,914696.4242862852,Modeled
927,Asia,Lebanon,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
928,Asia,Lebanon,A3,Beneficial,MPAs,705793.2828967094,Modeled
929,Asia,Lebanon,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
930,Asia,Lebanon,B2,Capacity-enhancing,Fisheries dev. projects,361250.8702960119,Modeled
931,Asia,Lebanon,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
932,Asia,Lebanon,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
933,Asia,Lebanon,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
934,Asia,Lebanon,B6,Capacity-enhancing,Fishing access,4074.62,Modeled
1905,Asia,Lebanon,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
935,Asia,Lebanon,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
936,Asia,Lebanon,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
937,Asia,Lebanon,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
998,Asia,Malaysia,A1,Beneficial,Fisheries mangt.,45873348.99442452,Reported
999,Asia,Malaysia,A2,Beneficial,Fishery R&D,6499537.4405,Reported
1000,Asia,Malaysia,A3,Beneficial,MPAs,8206086.76156593,Modeled
1001,Asia,Malaysia,B1,Capacity-enhancing,Boat constsruct. & renov.,48890373.62585378,Modeled
1002,Asia,Malaysia,B2,Capacity-enhancing,Fisheries dev. projects,60242002.23090382,Reported
1003,Asia,Malaysia,B3,Capacity-enhancing,Fishing port develop.,4141147.143038,Reported
1004,Asia,Malaysia,B4,Capacity-enhancing,Markt. & storage infrast.,109834520.35135946,Modeled
1005,Asia,Malaysia,B5,Capacity-enhancing,Tax exemption,170232829.57713234,Modeled
1006,Asia,Malaysia,B6,Capacity-enhancing,Fishing access,3849380.43,Modeled
1911,Asia,Malaysia,B7,Capacity-enhancing,Fuel subsidies,74825408.32585739,Reported
1007,Asia,Malaysia,C1,Ambiguous,Fisher assistance,62847934.93613903,Reported
1008,Asia,Malaysia,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1009,Asia,Malaysia,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1010,Asia,Maldives,A1,Beneficial,Fisheries mangt.,12135686.560614802,Modeled
1011,Asia,Maldives,A2,Beneficial,Fishery R&D,2843427.323527409,Modeled
1012,Asia,Maldives,A3,Beneficial,MPAs,5904549.878102625,Modeled
1013,Asia,Maldives,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
1014,Asia,Maldives,B2,Capacity-enhancing,Fisheries dev. projects,4800934.228072007,Modeled
1015,Asia,Maldives,B3,Capacity-enhancing,Fishing port develop.,2796989.24780324,Modeled
1016,Asia,Maldives,B4,Capacity-enhancing,Markt. & storage infrast.,3646461.463500787,Modeled
1017,Asia,Maldives,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1018,Asia,Maldives,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1912,Asia,Maldives,B7,Capacity-enhancing,Fuel subsidies,17437887.061029084,Modeled
1019,Asia,Maldives,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
1020,Asia,Maldives,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1021,Asia,Maldives,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
204,Asia,Myanmar,A1,Beneficial,Fisheries mangt.,3827487.505267791,Reported
205,Asia,Myanmar,A2,Beneficial,Fishery R&D,10621182.254031684,Modeled
206,Asia,Myanmar,A3,Beneficial,MPAs,618349.5365349373,Modeled
207,Asia,Myanmar,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
208,Asia,Myanmar,B2,Capacity-enhancing,Fisheries dev. projects,3566126.3925865497,Reported
209,Asia,Myanmar,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
210,Asia,Myanmar,B4,Capacity-enhancing,Markt. & storage infrast.,103983563.22606008,Modeled
211,Asia,Myanmar,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
212,Asia,Myanmar,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1845,Asia,Myanmar,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
213,Asia,Myanmar,C1,Ambiguous,Fisher assistance,115497.86608979577,Reported
214,Asia,Myanmar,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
215,Asia,Myanmar,C3,Ambiguous,Rural fisher communities,5464371.634853197,Modeled
1107,Asia,Oman,A1,Beneficial,Fisheries mangt.,49316872.11801901,Modeled
1108,Asia,Oman,A2,Beneficial,Fishery R&D,11555089.280764863,Modeled
1109,Asia,Oman,A3,Beneficial,MPAs,1058771.5407627784,Modeled
1110,Asia,Oman,B1,Capacity-enhancing,Boat constsruct. & renov.,6597281.969331956,Modeled
1111,Asia,Oman,B2,Capacity-enhancing,Fisheries dev. projects,19513477.678515505,Modeled
1112,Asia,Oman,B3,Capacity-enhancing,Fishing port develop.,11368409.701370688,Modeled
1113,Asia,Oman,B4,Capacity-enhancing,Markt. & storage infrast.,14821103.767165035,Modeled
1114,Asia,Oman,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1115,Asia,Oman,B6,Capacity-enhancing,Fishing access,191570.47999999998,Modeled
1920,Asia,Oman,B7,Capacity-enhancing,Fuel subsidies,32075590.696104236,Modeled
1116,Asia,Oman,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
1117,Asia,Oman,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1118,Asia,Oman,C3,Ambiguous,Rural fisher communities,6180242.723033503,Modeled
1251,Asia,Pakistan,A1,Beneficial,Fisheries mangt.,54989948.76157725,Modeled
1252,Asia,Pakistan,A2,Beneficial,Fishery R&D,4440868.1992925415,Modeled
1253,Asia,Pakistan,A3,Beneficial,MPAs,1312712.3035140769,Modeled
1254,Asia,Pakistan,B1,Capacity-enhancing,Boat constsruct. & renov.,4662151.390525972,Modeled
1255,Asia,Pakistan,B2,Capacity-enhancing,Fisheries dev. projects,55003924.76090598,Modeled
1256,Asia,Pakistan,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1257,Asia,Pakistan,B4,Capacity-enhancing,Markt. & storage infrast.,77756610.46470168,Modeled
1258,Asia,Pakistan,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1259,Asia,Pakistan,B6,Capacity-enhancing,Fishing access,467245.44,Modeled
1932,Asia,Pakistan,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
1260,Asia,Pakistan,C1,Ambiguous,Fisher assistance,8910808.827868976,Modeled
1261,Asia,Pakistan,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1262,Asia,Pakistan,C3,Ambiguous,Rural fisher communities,2284731.929265637,Modeled
1299,Asia,Philippines,A1,Beneficial,Fisheries mangt.,1250295.5136088862,Reported
1300,Asia,Philippines,A2,Beneficial,Fishery R&D,11836904.691432567,Modeled
1301,Asia,Philippines,A3,Beneficial,MPAs,27904234.64867874,Modeled
1302,Asia,Philippines,B1,Capacity-enhancing,Boat constsruct. & renov.,13928267.811106112,Modeled
1303,Asia,Philippines,B2,Capacity-enhancing,Fisheries dev. projects,2984547.1631277343,Reported
1304,Asia,Philippines,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1305,Asia,Philippines,B4,Capacity-enhancing,Markt. & storage infrast.,33394.59951650168,Reported
1306,Asia,Philippines,B5,Capacity-enhancing,Tax exemption,27367791.53620111,Modeled
1307,Asia,Philippines,B6,Capacity-enhancing,Fishing access,8652193.27,Modeled
1936,Asia,Philippines,B7,Capacity-enhancing,Fuel subsidies,86620873.61443557,Modeled
1308,Asia,Philippines,C1,Ambiguous,Fisher assistance,6431.433215036194,Reported
1309,Asia,Philippines,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1310,Asia,Philippines,C3,Ambiguous,Rural fisher communities,6089834.88780381,Modeled
1359,Asia,Qatar,A1,Beneficial,Fisheries mangt.,18936885.99068116,Modeled
1360,Asia,Qatar,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
1361,Asia,Qatar,A3,Beneficial,MPAs,295127.1651797841,Modeled
1362,Asia,Qatar,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
1363,Asia,Qatar,B2,Capacity-enhancing,Fisheries dev. projects,0.0,not found evidence of subsidy
1364,Asia,Qatar,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1365,Asia,Qatar,B4,Capacity-enhancing,Markt. & storage infrast.,5670503.100869569,Modeled
1366,Asia,Qatar,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1367,Asia,Qatar,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1941,Asia,Qatar,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
1368,Asia,Qatar,C1,Ambiguous,Fisher assistance,1688841.2596361076,Modeled
1369,Asia,Qatar,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1370,Asia,Qatar,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1443,Asia,Saudi Arabia,A1,Beneficial,Fisheries mangt.,30694138.664953932,Modeled
1444,Asia,Saudi Arabia,A2,Beneficial,Fishery R&D,7191727.646898589,Modeled
1445,Asia,Saudi Arabia,A3,Beneficial,MPAs,1526504.5649377797,Modeled
1446,Asia,Saudi Arabia,B1,Capacity-enhancing,Boat constsruct. & renov.,4262127.931190519,Modeled
1447,Asia,Saudi Arabia,B2,Capacity-enhancing,Fisheries dev. projects,12606545.943447888,Modeled
1448,Asia,Saudi Arabia,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1449,Asia,Saudi Arabia,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
1450,Asia,Saudi Arabia,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1451,Asia,Saudi Arabia,B6,Capacity-enhancing,Fishing access,846553.32,Modeled
1948,Asia,Saudi Arabia,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
1452,Asia,Saudi Arabia,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
1453,Asia,Saudi Arabia,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1454,Asia,Saudi Arabia,C3,Ambiguous,Rural fisher communities,3846497.5367842265,Modeled
1491,Asia,Singapore,A1,Beneficial,Fisheries mangt.,713110.3624586477,Modeled
1492,Asia,Singapore,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
