Region Name,Country,Type,Subsidies amount (USD in 2018),Data Type,Source of information
Africa,South Africa,Fisheries mangt.,35118651.2060588,Reported,"['Expenditure for Agriculture, Forestry and Fisheries, Budget 2019', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,South Africa,Fishery R&D,5411588.3624,Reported,"['Expenditure for Agriculture, Forestry and Fisheries, Budget 2019']"
Africa,South Africa,MPAs,5841031.834,Modeled,['Estimates of National Expenditure 2019']
Africa,South Africa,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,South Africa,Fisheries dev. projects,40618409.9452969,Modeled,
Africa,South Africa,Fishing port develop.,41743.10668,Reported,"['Expenditure for Agriculture, Forestry and Fisheries, Budget 2019']"
Africa,South Africa,Markt. & storage infrast.,3579321.24275,Reported,"['Estimates of National Expenditure 2019', 'Estimates of provincial revenue and expenditure, 2018/19, Limpopo']"
Africa,South Africa,Tax exemption,0,not found evidence of subsidy,
Africa,South Africa,Fishing access,623506.25,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,South Africa,Fuel subsidies,25388558.5667443,Reported,['South African Revenue Service (2017) Review of the Diesel Fuel Tax Refund System']
Africa,South Africa,Fisher assistance,0,not found evidence of subsidy,
Africa,South Africa,Vessel buyback,0,not found evidence of subsidy,
Africa,South Africa,Rural fisher communities,0,not found evidence of subsidy,
Africa,Sudan,Fisheries mangt.,808084.124791482,Reported,"['Sudan Budget 2016', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Sudan,Fishery R&D,29087.3839253002,Modeled,
Africa,Sudan,MPAs,543131.344505876,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Sudan,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Sudan,Fisheries dev. projects,321225.813553014,Reported,"['Sudan Budget 2016', 'OECDStat, Overseas Development Aid, Fishery Development']"
Africa,Sudan,Fishing port develop.,0,not found evidence of subsidy,
Africa,Sudan,Markt. & storage infrast.,815311.93006952,Modeled,
Africa,Sudan,Tax exemption,96054.008348027,Modeled,
Africa,Sudan,Fishing access,171150.29,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Sudan,Fuel subsidies,0,Reported,"[""FT (2018) Sudan's Economy Struggles to Shake Off Pariah Status""]"
Africa,Sudan,Fisher assistance,0,not found evidence of subsidy,
Africa,Sudan,Vessel buyback,0,not found evidence of subsidy,
Africa,Sudan,Rural fisher communities,14964.8383628067,Modeled,
Africa,Tanzania,Fisheries mangt.,91663.5746645741,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Tanzania,Fishery R&D,1241042.42777662,Modeled,
Africa,Tanzania,MPAs,3552888.17044304,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Tanzania,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Tanzania,Fisheries dev. projects,84646.2577101011,Reported,"['OECDStat, Overseas Development Aid, Fishery Development']"
Africa,Tanzania,Fishing port develop.,0,not found evidence of subsidy,
Africa,Tanzania,Markt. & storage infrast.,645154.705555088,Reported,"['OECDStat, Overseas Development Aid, Fishery Services']"
Africa,Tanzania,Tax exemption,2588344.58722353,Modeled,
Africa,Tanzania,Fishing access,123530.44,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Tanzania,Fuel subsidies,0,not found evidence of subsidy,
Africa,Tanzania,Fisher assistance,0,not found evidence of subsidy,
Africa,Tanzania,Vessel buyback,0,not found evidence of subsidy,
Africa,Tanzania,Rural fisher communities,0,not found evidence of subsidy,
Africa,Togo,Fisheries mangt.,4082945.45253223,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Togo,Fishery R&D,0,not found evidence of subsidy,
Africa,Togo,MPAs,0,not found evidence of subsidy,
Africa,Togo,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Togo,Fisheries dev. projects,1286920.47667888,Modeled,
Africa,Togo,Fishing port develop.,0,not found evidence of subsidy,
Africa,Togo,Markt. & storage infrast.,0,not found evidence of subsidy,
Africa,Togo,Tax exemption,214332.015593515,Modeled,
Africa,Togo,Fishing access,160528.82,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Togo,Fuel subsidies,120090.904044927,Modeled,
Africa,Togo,Fisher assistance,0,not found evidence of subsidy,
Africa,Togo,Vessel buyback,0,not found evidence of subsidy,
Africa,Togo,Rural fisher communities,143890.567855151,Modeled,
Africa,Tunisia,Fisheries mangt.,276802.933291892,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Tunisia,Fishery R&D,0,not found evidence of subsidy,
Africa,Tunisia,MPAs,1361672.08629622,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Tunisia,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Tunisia,Fisheries dev. projects,7624710.37047865,Modeled,
Africa,Tunisia,Fishing port develop.,0,not found evidence of subsidy,
Africa,Tunisia,Markt. & storage infrast.,5791208.7971825,Modeled,
Africa,Tunisia,Tax exemption,8975810.67466424,Modeled,
Africa,Tunisia,Fishing access,184753.04,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Tunisia,Fuel subsidies,64122572.5642798,Modeled,
Africa,Tunisia,Fisher assistance,0,not found evidence of subsidy,
Africa,Tunisia,Vessel buyback,0,not found evidence of subsidy,
Africa,Tunisia,Rural fisher communities,0,not found evidence of subsidy,
Asia,Bahrain,Fisheries mangt.,10990054.9042301,Modeled,
Asia,Bahrain,Fishery R&D,2575002.43152055,Modeled,
Asia,Bahrain,MPAs,0,not found evidence of subsidy,
Asia,Bahrain,Boat constsruct. & renov.,1653254.10674476,Modeled,
Asia,Bahrain,Fisheries dev. projects,0,not found evidence of subsidy,
Asia,Bahrain,Fishing port develop.,2848880.81384389,Modeled,
Asia,Bahrain,Markt. & storage infrast.,0,not found evidence of subsidy,
Asia,Bahrain,Tax exemption,5756514.08915285,Modeled,
Asia,Bahrain,Fishing access,989996.01,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,Bahrain,Fuel subsidies,0,not found evidence of subsidy,
Asia,Bahrain,Fisher assistance,1106171.20757656,Modeled,
Asia,Bahrain,Vessel buyback,0,not found evidence of subsidy,
Asia,Bahrain,Rural fisher communities,0,not found evidence of subsidy,
Asia,Bangladesh,Fisheries mangt.,9047546.93320581,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management', 'Bangladesh National Operating Expenditure, 2017/18']"
Asia,Bangladesh,Fishery R&D,7900501.9509675,Reported,"['Bangladesh National Expenditure, 2017/18']"
Asia,Bangladesh,MPAs,3718424.56256042,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,Bangladesh,Boat constsruct. & renov.,3883144.51089277,Modeled,
Asia,Bangladesh,Fisheries dev. projects,45813224.5441251,Modeled,
Asia,Bangladesh,Fishing port develop.,0,not found evidence of subsidy,
Asia,Bangladesh,Markt. & storage infrast.,6598368.872364,Reported,"['WTO Trade Policy Review Annual Report, 2019']"
Asia,Bangladesh,Tax exemption,0,not found evidence of subsidy,
Asia,Bangladesh,Fishing access,0,not found evidence of subsidy,
Asia,Bangladesh,Fuel subsidies,35088039.2734791,Modeled,
Asia,Bangladesh,Fisher assistance,47308800,Reported,['The Third Pole (2018) Bangladesh Saves Its Favourite Fish']
Asia,Bangladesh,Vessel buyback,0,not found evidence of subsidy,
Asia,Bangladesh,Rural fisher communities,2024552.42819604,Modeled,
Asia,Brunei Darsm,Fisheries mangt.,2676994.35041658,Modeled,
Asia,Brunei Darsm,Fishery R&D,627227.709193356,Modeled,
Asia,Brunei Darsm,MPAs,291888.147405743,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,Brunei Darsm,Boat constsruct. & renov.,331698.496267429,Modeled,
Asia,Brunei Darsm,Fisheries dev. projects,0,not found evidence of subsidy,
Asia,Brunei Darsm,Fishing port develop.,0,not found evidence of subsidy,
Asia,Brunei Darsm,Markt. & storage infrast.,745176.249165227,Modeled,
Asia,Brunei Darsm,Tax exemption,0,not found evidence of subsidy,
Asia,Brunei Darsm,Fishing access,0,not found evidence of subsidy,
Asia,Brunei Darsm,Fuel subsidies,0,not found evidence of subsidy,
Asia,Brunei Darsm,Fisher assistance,0,not found evidence of subsidy,
Asia,Brunei Darsm,Vessel buyback,0,not found evidence of subsidy,
Asia,Brunei Darsm,Rural fisher communities,0,not found evidence of subsidy,
Asia,Cambodia,Fisheries mangt.,45397687.986868,Modeled,
Asia,Cambodia,Fishery R&D,3666218.16245723,Modeled,
Asia,Cambodia,MPAs,831999.086557268,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,Cambodia,Boat constsruct. & renov.,0,not found evidence of subsidy,
Asia,Cambodia,Fisheries dev. projects,9972837.8603145,Modeled,
Asia,Cambodia,Fishing port develop.,0,not found evidence of subsidy,
Asia,Cambodia,Markt. & storage infrast.,0,not found evidence of subsidy,
Asia,Cambodia,Tax exemption,0,not found evidence of subsidy,
Asia,Cambodia,Fishing access,1495908.19,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,Cambodia,Fuel subsidies,0,not found evidence of subsidy,
Asia,Cambodia,Fisher assistance,0,not found evidence of subsidy,
Asia,Cambodia,Vessel buyback,0,not found evidence of subsidy,
Asia,Cambodia,Rural fisher communities,1886191.01480067,Modeled,
Asia,China,Fisheries mangt.,428865386.956665,Reported,"['China Fisheries Yearbook 2018', 'China WTO Subsidies Note-2019']"
Asia,China,Fishery R&D,172033.496120761,Reported,['China WTO Subsidies Note-2019']
Asia,China,MPAs,5454908.02815512,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,China,Boat constsruct. & renov.,14581816.8025114,Reported,"['China Fisheries Yearbook 2018', 'China WTO Subsidies Note-2019']"
Asia,China,Fisheries dev. projects,5752133.19628446,Reported,['China Fisheries Yearbook 2018']
Asia,China,Fisheries dev. projects,902580106.102404,Modeled,['China Fisheries Yearbook 2018']
Asia,China,Fishing port develop.,185153513.234605,Reported,"['China Fisheries Yearbook 2018', 'China WTO Subsidies Note-2019']"
Asia,China,Markt. & storage infrast.,6194721.57396959,Reported,"['China Fisheries Yearbook 2018', 'China WTO Subsidies Note-2019']"
Asia,China,Tax exemption,1062517493.44611,Modeled,
Asia,China,Fishing access,275424946.96,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,China,Fuel subsidies,3433436330.87965,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management', 'China Fisheries Yearbook 2016']"
Asia,China,Fisher assistance,54898339.5210618,Reported,"['China Fisheries Yearbook 2018', 'China WTO Subsidies Note-2019']"
Asia,China,Vessel buyback,886222569.025235,Reported,['China WTO Subsidies Note-2019']
Asia,China,Rural fisher communities,0,not found evidence of subsidy,
Asia,Cyprus,Fisheries mangt.,633368.009196487,Modeled,
Asia,Cyprus,Fishery R&D,148400.001450451,Modeled,
Asia,Cyprus,MPAs,1131549.54655515,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,Cyprus,Boat constsruct. & renov.,84554.1195139867,Modeled,
Asia,Cyprus,Fisheries dev. projects,0,not found evidence of subsidy,
Asia,Cyprus,Fishing port develop.,0,not found evidence of subsidy,
Asia,Cyprus,Markt. & storage infrast.,189954.80033802,Modeled,
Asia,Cyprus,Tax exemption,0,not found evidence of subsidy,
Asia,Cyprus,Fishing access,25864944.17,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,Cyprus,Fuel subsidies,1336031.9210613,Modeled,
Asia,Cyprus,Fisher assistance,56574.0814474807,Modeled,
Asia,Cyprus,Vessel buyback,61614.1667165018,Modeled,
Asia,Cyprus,Rural fisher communities,0,not found evidence of subsidy,
Asia,Hong Kong,Fisheries mangt.,1338136.82319296,Modeled,
Asia,Hong Kong,Fishery R&D,0,not found evidence of subsidy,
Asia,Hong Kong,MPAs,0,not found evidence of subsidy,
Asia,Hong Kong,Boat constsruct. & renov.,0,not found evidence of subsidy,
Asia,Hong Kong,Fisheries dev. projects,40962323.032917,Modeled,
Asia,Hong Kong,Fishing port develop.,0,not found evidence of subsidy,
Asia,Hong Kong,Markt. & storage infrast.,0,not found evidence of subsidy,
Asia,Hong Kong,Tax exemption,0,not found evidence of subsidy,
Asia,Hong Kong,Fishing access,71892110.84,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,Hong Kong,Fuel subsidies,0,not found evidence of subsidy,
Asia,Hong Kong,Fisher assistance,0,not found evidence of subsidy,
Asia,Hong Kong,Vessel buyback,0,not found evidence of subsidy,
Asia,Hong Kong,Rural fisher communities,0,not found evidence of subsidy,
Asia,India,Fisheries mangt.,52122688.4970675,Reported,"['Department of Animal Husbandry, Dairying, and Fisheries Budget 2017', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Asia,India,Fishery R&D,26710263.2421591,Reported,"['Central Marine Fisheries Research Institute, Kochi - Income & Expenditure 31st March 2018', 'OECDStat, Overseas Development Aid, Fisheries Research']"
Asia,India,MPAs,4127834.91252317,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,India,Boat constsruct. & renov.,8531208.04588411,Reported,['India WTO Subsidies Note-2018']
Asia,India,Fisheries dev. projects,159275.673615223,Reported,"['India WTO Subsidies Note-2018', 'OECDStat, Overseas Development Aid, Fishery Development']"
Asia,India,Fishing port develop.,10530705.0162606,Reported,['India WTO Subsidies Note-2018']
Asia,India,Markt. & storage infrast.,2762127.63910446,Reported,['India WTO Subsidies Note-2018']
Asia,India,Tax exemption,45961256.0119424,Modeled,
Asia,India,Fishing access,15971345.57,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,India,Fuel subsidies,90487776.4791556,Reported,['India WTO Subsidies Note-2018']
Asia,India,Fisher assistance,8120990.29110581,Reported,"['Department of Animal Husbandry, Dairying, and Fisheries Budget 2017', 'India WTO Subsidies Note-2018']"
Asia,India,Vessel buyback,0,not found evidence of subsidy,
Asia,India,Rural fisher communities,11272695.269214,Modeled,
Asia,Indonesia,Fisheries mangt.,210754701.242864,Reported,"['Indonesia Fisheries Ministry Budget 2017', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Asia,Indonesia,Fishery R&D,56386451.5137325,Reported,['Indonesia Fisheries Ministry Budget 2017']
Asia,Indonesia,MPAs,41431606.1263971,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,Indonesia,Boat constsruct. & renov.,66744946.2471672,Reported,"['Indonesia Fisheries Ministry Budget 2017', 'Indonesia WTO notification 2019']"
Asia,Indonesia,Fisheries dev. projects,91542906.3997582,Reported,"['Indonesia Fisheries Ministry Budget 2017', 'OECDStat, Overseas Development Aid, Fishery Development']"
Asia,Indonesia,Fishing port develop.,26823464.4972545,Reported,['Indonesia Fisheries Ministry Budget 2017']
Asia,Indonesia,Markt. & storage infrast.,140059127.832383,Reported,"['Indonesia Fisheries Ministry Budget 2017', 'Indonesia WTO notification 2019', 'OECDStat, Overseas Development Aid, Fishery Services']"
Asia,Indonesia,Tax exemption,98477275.8146321,Modeled,
Asia,Indonesia,Fishing access,1019127.28,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,Indonesia,Fuel subsidies,141322801.127562,Reported,"['OECD, Fisheries Support Estimate (stats.oecd.org/)']"
Asia,Indonesia,Fisher assistance,4680451.01606126,Reported,"['Indonesia Fisheries Ministry Budget 2017', 'Indonesia WTO Subsidy notification 2019', 'OECDStat, Overseas Development Aid, Fisheries Training']"
Asia,Indonesia,Vessel buyback,0,not found evidence of subsidy,
Asia,Indonesia,Rural fisher communities,56310415.9820251,Reported,['Indonesia Fisheries Ministry Budget 2017']
Asia,Iran,Fisheries mangt.,67491230.0708812,Modeled,
Asia,Iran,Fishery R&D,15813395.2062368,Modeled,
Asia,Iran,MPAs,5544576.34425753,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,Iran,Boat constsruct. & renov.,9696722.09676932,Modeled,
Asia,Iran,Fisheries dev. projects,130138.960091741,Reported,"['OECDStat, Overseas Development Aid, Fishery Development']"
Asia,Iran,Fishing port develop.,0,not found evidence of subsidy,
Asia,Iran,Markt. & storage infrast.,21784141.5700674,Modeled,
Asia,Iran,Tax exemption,0,not found evidence of subsidy,
Asia,Iran,Fishing access,3609634.32,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,Iran,Fuel subsidies,0,not found evidence of subsidy,
Asia,Iran,Fisher assistance,0,not found evidence of subsidy,
Asia,Iran,Vessel buyback,0,not found evidence of subsidy,
Asia,Iran,Rural fisher communities,8457798.83436164,Modeled,
Asia,Iraq,Fisheries mangt.,617482.28272036,Modeled,
Asia,Iraq,Fishery R&D,0,not found evidence of subsidy,
Asia,Iraq,MPAs,0,not found evidence of subsidy,
Asia,Iraq,Boat constsruct. & renov.,0,not found evidence of subsidy,
Asia,Iraq,Fisheries dev. projects,0,not found evidence of subsidy,
Asia,Iraq,Fishing port develop.,0,not found evidence of subsidy,
Asia,Iraq,Markt. & storage infrast.,0,not found evidence of subsidy,
Asia,Iraq,Tax exemption,0,not found evidence of subsidy,
Asia,Iraq,Fishing access,454381.89,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,Iraq,Fuel subsidies,0,not found evidence of subsidy,
Asia,Iraq,Fisher assistance,0,not found evidence of subsidy,
Asia,Iraq,Vessel buyback,0,not found evidence of subsidy,
Asia,Iraq,Rural fisher communities,0,not found evidence of subsidy,
Asia,Israel,Fisheries mangt.,809638.860826575,Modeled,
Asia,Israel,Fishery R&D,189700.784340895,Modeled,
Asia,Israel,MPAs,485400.255919871,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,Israel,Boat constsruct. & renov.,108106.955299093,Modeled,
Asia,Israel,Fisheries dev. projects,0,not found evidence of subsidy,
Asia,Israel,Fishing port develop.,0,not found evidence of subsidy,
Asia,Israel,Markt. & storage infrast.,0,not found evidence of subsidy,
Asia,Israel,Tax exemption,0,not found evidence of subsidy,
Asia,Israel,Fishing access,0,not found evidence of subsidy,
Asia,Israel,Fuel subsidies,0,not found evidence of subsidy,
Asia,Israel,Fisher assistance,0,not found evidence of subsidy,
Asia,Israel,Vessel buyback,0,not found evidence of subsidy,
Asia,Israel,Rural fisher communities,0,not found evidence of subsidy,
Asia,Japan,Fisheries mangt.,345674903.425003,Reported,"['OECD, Fisheries Support Estimate (stats.oecd.org/)']"
Asia,Japan,Fishery R&D,160089659.923927,Reported,"['OECD, Fisheries Support Estimate (stats.oecd.org/)']"
Asia,Japan,MPAs,28316872.9070678,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,Japan,Boat constsruct. & renov.,146739219.309144,Modeled,
Asia,Japan,Fisheries dev. projects,20731419.1803489,Reported,"['OECD, Fisheries Support Estimate (stats.oecd.org/)']"
Asia,Japan,Fishing port develop.,659197308.680895,Reported,"['OECD, Fisheries Support Estimate (stats.oecd.org/)']"
Asia,Japan,Markt. & storage infrast.,28454674.4059348,Reported,"['OECD, Fisheries Support Estimate (stats.oecd.org/)']"
Asia,Japan,Tax exemption,510935602.6628,Modeled,
Asia,Japan,Fishing access,112772067.13,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,Japan,Fuel subsidies,631740242.45865,Modeled,
Asia,Japan,Fisher assistance,75917356.2221085,Reported,"['OECD, Fisheries Support Estimate (stats.oecd.org/)']"
Asia,Japan,Vessel buyback,106928139.92188,Modeled,
Asia,Japan,Rural fisher communities,32345071.1088457,Reported,"['Ministry of Agriculture, Forestry and Fisheries. MRAG Japan Report 2016']"
Asia,Jordan,Fisheries mangt.,105387.071596723,Modeled,
Asia,Jordan,Fishery R&D,0,not found evidence of subsidy,
Asia,Jordan,MPAs,0,not found evidence of subsidy,
Asia,Jordan,Boat constsruct. & renov.,0,not found evidence of subsidy,
Asia,Jordan,Fisheries dev. projects,41621.6465108867,Modeled,
Asia,Jordan,Fishing port develop.,0,not found evidence of subsidy,
Asia,Jordan,Markt. & storage infrast.,0,not found evidence of subsidy,
Asia,Jordan,Tax exemption,0,not found evidence of subsidy,
Asia,Jordan,Fishing access,0,not found evidence of subsidy,
Asia,Jordan,Fuel subsidies,0,not found evidence of subsidy,
Asia,Jordan,Fisher assistance,0,not found evidence of subsidy,
Asia,Jordan,Vessel buyback,0,not found evidence of subsidy,
Asia,Jordan,Rural fisher communities,0,not found evidence of subsidy,
Asia,Korea D P Rp,Fisheries mangt.,10400164.6194412,Modeled,
Asia,Korea D P Rp,Fishery R&D,0,not found evidence of subsidy,
Asia,Korea D P Rp,MPAs,0,not found evidence of subsidy,
Asia,Korea D P Rp,Boat constsruct. & renov.,0,not found evidence of subsidy,
Asia,Korea D P Rp,Fisheries dev. projects,0,not found evidence of subsidy,
Asia,Korea D P Rp,Fishing port develop.,0,not found evidence of subsidy,
Asia,Korea D P Rp,Markt. & storage infrast.,0,not found evidence of subsidy,
Asia,Korea D P Rp,Tax exemption,0,not found evidence of subsidy,
Asia,Korea D P Rp,Fishing access,975586.68,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,Korea D P Rp,Fuel subsidies,0,not found evidence of subsidy,
Asia,Korea D P Rp,Fisher assistance,0,not found evidence of subsidy,
Asia,Korea D P Rp,Vessel buyback,0,not found evidence of subsidy,
Asia,Korea D P Rp,Rural fisher communities,0,not found evidence of subsidy,
Asia,Korea Rep,Fisheries mangt.,1177574425.00656,Reported,['Korea Open Fiscal Data - Expenditure 2018']
Asia,Korea Rep,Fishery R&D,457516062.92832,Reported,['Korea Open Fiscal Data - Expenditure 2018']
Asia,Korea Rep,MPAs,0,not found evidence of subsidy,
Asia,Korea Rep,Boat constsruct. & renov.,45751448.2129538,Modeled,
Asia,Korea Rep,Fisheries dev. projects,131658318.57792,Reported,['Korea Open Fiscal Data - Expenditure 2018']
Asia,Korea Rep,Fishing port develop.,231798842.72,Reported,['Korea Open Fiscal Data - Expenditure 2018']
Asia,Korea Rep,Markt. & storage infrast.,477334712.32,Reported,['Korea Open Fiscal Data - Expenditure 2018']
Asia,Korea Rep,Tax exemption,9013873.76,Reported,['Korea Open Fiscal Data - Expenditure 2018']
Asia,Korea Rep,Fishing access,0,not found evidence of subsidy,
Asia,Korea Rep,Fuel subsidies,604031262.94935,Modeled,
Asia,Korea Rep,Fisher assistance,4800088.96,Reported,['Korea Open Fiscal Data - Expenditure 2018']
Asia,Korea Rep,Vessel buyback,33338852.9608901,Modeled,
Asia,Korea Rep,Rural fisher communities,12132870.4,Reported,['Korea Open Fiscal Data - Expenditure 2018']
Asia,Kuwait,Fisheries mangt.,6410762.50276815,Modeled,
Asia,Kuwait,Fishery R&D,1502060.65177844,Modeled,
Asia,Kuwait,MPAs,237044.872051291,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,Kuwait,Boat constsruct. & renov.,785523.307836944,Modeled,
Asia,Kuwait,Fisheries dev. projects,0,not found evidence of subsidy,
Asia,Kuwait,Fishing port develop.,0,not found evidence of subsidy,
Asia,Kuwait,Markt. & storage infrast.,1764715.00098047,Modeled,
Asia,Kuwait,Tax exemption,0,not found evidence of subsidy,
Asia,Kuwait,Fishing access,0,not found evidence of subsidy,
Asia,Kuwait,Fuel subsidies,0,not found evidence of subsidy,
Asia,Kuwait,Fisher assistance,0,not found evidence of subsidy,
Asia,Kuwait,Vessel buyback,0,not found evidence of subsidy,
Asia,Kuwait,Rural fisher communities,0,not found evidence of subsidy,
Asia,Lebanon,Fisheries mangt.,914696.424286285,Modeled,
Asia,Lebanon,Fishery R&D,0,not found evidence of subsidy,
Asia,Lebanon,MPAs,705793.282896709,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Asia,Lebanon,Boat constsruct. & renov.,0,not found evidence of subsidy,
Asia,Lebanon,Fisheries dev. projects,361250.870296012,Modeled,
Asia,Lebanon,Fishing port develop.,0,not found evidence of subsidy,
Asia,Lebanon,Markt. & storage infrast.,0,not found evidence of subsidy,
Asia,Lebanon,Tax exemption,0,not found evidence of subsidy,
Asia,Lebanon,Fishing access,4074.62,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Asia,Lebanon,Fuel subsidies,0,not found evidence of subsidy,
Asia,Lebanon,Fisher assistance,0,not found evidence of subsidy,
Asia,Lebanon,Vessel buyback,0,not found evidence of subsidy,
Asia,Lebanon,Rural fisher communities,0,not found evidence of subsidy,
Asia,Malaysia,Fisheries mangt.,45873348.9944245,Reported,"['Malaysia Ministry of Agriculture and Basic Industry, Expenditure for 2019', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
